last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Davis, Chris,448801,2020,52,33,.122,.151,-.029,.184,.223,-.039,.160,.193,-.033
Goldschmidt, Paul,502671,2020,51,34,.349,.305,.044,.512,.503,.009,.413,.395,.018
Suzuki, Kurt,435559,2020,50,39,.250,.233,.017,.364,.306,.058,.283,.285,-.002
Edman, Tommy,669242,2020,50,34,.222,.228,-.006,.356,.329,.027,.286,.287,-.001
Polanco, Gregory,570256,2020,49,22,.070,.164,-.094,.233,.316,-.083,.174,.245,-.071
Stallings, Jacob,607732,2020,49,32,.262,.190,.072,.310,.259,.051,.300,.257,.043
Kieboom, Carter,666198,2020,49,24,.250,.180,.070,.250,.231,.019,.291,.263,.028
Gonzalez, Erik,570481,2020,48,39,.313,.342,-.029,.500,.693,-.193,.338,.429,-.091
Carpenter, Matt,572761,2020,46,29,.238,.235,.003,.357,.503,-.146,.288,.340,-.052
Wong, Kolten,543939,2020,46,32,.250,.240,.010,.325,.329,-.004,.302,.305,-.003
Dyson, Jarrod,502481,2020,45,35,.143,.208,-.065,.143,.248,-.105,.162,.235,-.073
Evans, Phillip,595943,2020,45,32,.359,.281,.078,.487,.398,.089,.403,.344,.059
Quinn, Roman,596451,2020,43,33,.262,.280,-.018,.452,.380,.072,.303,.294,.009
O'Neill, Tyler,641933,2020,42,28,.189,.225,-.036,.486,.493,-.007,.321,.345,-.024
Joyce, Matt,459964,2020,41,24,.257,.262,-.005,.314,.397,-.083,.309,.342,-.033
Alvarez, Eddy,657193,2020,38,21,.206,.166,.040,.235,.208,.027,.243,.222,.021
Fowler, Dexter,451594,2020,35,23,.273,.204,.069,.455,.366,.089,.325,.264,.061
Carlson, Dylan,666185,2020,29,20,.148,.277,-.129,.185,.508,-.323,.180,.352,-.172
